#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Jun 11 23:36:18 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Microprocessor_map.ncd
#OUTPUT FILE:      Microprocessor_pad.csv
#PART TYPE:        xc3s50an
#SPEED GRADE:      -5
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,TMS,,,,,,,,,,,,
P2,,,TDI,,,,,,,,,,,,
P3,,DIFFMLR,IO_L02P_3,UNUSED,,3,,,,,,,,,
P4,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,
P5,,DIFFSLR,IO_L02N_3,UNUSED,,3,,,,,,,,,
P6,,DIFFSLR,IO_L01N_3,UNUSED,,3,,,,,,,,,
P7,,DIFFMLR,IO_L03P_3,UNUSED,,3,,,,,,,,,
P8,,DIFFSLR,IO_L03N_3,UNUSED,,3,,,,,,,,,
P9,,,GND,,,,,,,,,,,,
P10,,DIFFMLR,IO_L04P_3,UNUSED,,3,,,,,,,,,
P11,rwd_1<0>,IOB,IO_L04N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P12,rwd_1<1>,IOB,IO_L05P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P13,rwd_1<2>,IOB,IO_L05N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P14,,,VCCO_3,,,3,,,,,2.50,,,,
P15,rwd_1<3>,IOB,IO_L06P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P16,rwd_1<4>,IOB,IO_L06N_3/IRDY2/LHCLK3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P17,,,GND,,,,,,,,,,,,
P18,rwd_1<5>,IOB,IO_L07P_3/LHCLK4,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P19,rwd_1<6>,IOB,IO_L08P_3/TRDY2/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P20,rwd_0<0>,IOB,IO_L07N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P21,rwd_0<1>,IOB,IO_L08N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P22,,,VCCINT,,,,,,,,1.2,,,,
P23,,,VCCO_3,,,3,,,,,2.50,,,,
P24,rwd_0<2>,IOB,IO_L09P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P25,rwd_0<3>,IOB,IO_L09N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P26,,,GND,,,,,,,,,,,,
P27,rwd_0<4>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P28,rwd_0<5>,IOB,IO_L11P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P29,rwd_0<6>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P30,,DIFFSLR,IO_L11N_3,UNUSED,,3,,,,,,,,,
P31,,DIFFMLR,IO_L12P_3,UNUSED,,3,,,,,,,,,
P32,,DIFFSLR,IO_L12N_3,UNUSED,,3,,,,,,,,,
P33,,DIFFMI_NDT,IP_L13P_3,UNUSED,,3,,,,,,,,,
P34,,,GND,,,,,,,,,,,,
P35,,DIFFSI_NDT,IP_L13N_3/VREF_3,UNUSED,,3,,,,,,,,,
P36,,,VCCAUX,,,,,,,,3.3,,,,
P37,,DIFFMTB,IO_L01P_2/M1,UNUSED,,2,,,,,,,,,
P38,,DIFFSTB,IO_L01N_2/M0,UNUSED,,2,,,,,,,,,
P39,,DIFFMTB,IO_L02P_2/M2,UNUSED,,2,,,,,,,,,
P40,,,VCCO_2,,,2,,,,,2.50,,,,
P41,,DIFFSTB,IO_L02N_2/CSO_B,UNUSED,,2,,,,,,,,,
P42,,DIFFMTB,IO_L03P_2/RDWR_B,UNUSED,,2,,,,,,,,,
P43,,DIFFMTB,IO_L04P_2/VS2,UNUSED,,2,,,,,,,,,
P44,,DIFFSTB,IO_L03N_2/VS1,UNUSED,,2,,,,,,,,,
P45,,DIFFSTB,IO_L04N_2/VS0,UNUSED,,2,,,,,,,,,
P46,,DIFFMTB,IO_L05P_2,UNUSED,,2,,,,,,,,,
P47,reset,IBUF,IO_L06P_2,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
P48,,DIFFSTB,IO_L05N_2/D7,UNUSED,,2,,,,,,,,,
P49,,DIFFSTB,IO_L06N_2/D6,UNUSED,,2,,,,,,,,,
P50,,DIFFMTB,IO_L07P_2/D5,UNUSED,,2,,,,,,,,,
P51,,DIFFSTB,IO_L07N_2/D4,UNUSED,,2,,,,,,,,,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
P54,,DIFFMTB,IO_L08P_2/GCLK14,UNUSED,,2,,,,,,,,,
P55,,DIFFSTB,IO_L08N_2/GCLK15,UNUSED,,2,,,,,,,,,
P56,,,GND,,,,,,,,,,,,
P57,oscillator,IBUF,IO_L09P_2/GCLK0,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
P58,,DIFFMTB,IO_L10P_2/GCLK2,UNUSED,,2,,,,,,,,,
P59,,DIFFSTB,IO_L09N_2/GCLK1,UNUSED,,2,,,,,,,,,
P60,,DIFFSTB,IO_L10N_2/GCLK3,UNUSED,,2,,,,,,,,,
P61,,,VCCO_2,,,2,,,,,2.50,,,,
P62,,DIFFMTB,IO_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P63,,DIFFMTB,IO_L11P_2/AWAKE,UNUSED,,2,,,,,,,,,
P64,,DIFFSTB,IO_L11N_2/DOUT,UNUSED,,2,,,,,,,,,
P65,,,GND,,,,,,,,,,,,
P66,,,VCCAUX,,,,,,,,3.3,,,,
P67,,DIFFMTB,IO_L12P_2/INIT_B,UNUSED,,2,,,,,,,,,
P68,reg_num<0>,IOB,IO_L12N_2/D3,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P69,reg_num<1>,IOB,IO_L13P_2/D2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P70,reg_num<2>,IOB,IO_L14P_2/D1,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P71,reg_num<3>,IOB,IO_L13N_2/D0/DIN/MISO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P72,reg_num<4>,IOB,IO_L14N_2/CCLK,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P73,,,DONE,,,,,,,,,,,,
P74,,,SUSPEND,,,,,,,,,,,,
P75,reg_num<5>,IOB,IO_L02P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P76,reg_num<6>,IOB,IO_L01P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P77,,DIFFSLR,IO_L02N_1/LDC0,UNUSED,,1,,,,,,,,,
P78,,DIFFSLR,IO_L01N_1/LDC2,UNUSED,,1,,,,,,,,,
P79,,DIFFMLR,IO_1,UNUSED,,1,,,,,,,,,
P80,,DIFFSI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
P81,,,GND,,,,,,,,,,,,
P82,,DIFFMLR,IO_L03P_1,UNUSED,,1,,,,,,,,,
P83,,DIFFMLR,IO_L04P_1/RHCLK0,UNUSED,,1,,,,,,,,,
P84,,DIFFSLR,IO_L03N_1,UNUSED,,1,,,,,,,,,
P85,,DIFFSLR,IO_L04N_1/RHCLK1,UNUSED,,1,,,,,,,,,
P86,,,VCCO_1,,,1,,,,,2.50,,,,
P87,clock,IOB,IO_L05P_1/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P88,op<1>,IOB,IO_L05N_1/TRDY1/RHCLK3,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P89,,,GND,,,,,,,,,,,,
P90,op<0>,IOB,IO_L06P_1/RHCLK4,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P91,reg_write,IOB,IO_L07P_1/IRDY1/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P92,mem_read,IOB,IO_L06N_1/RHCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P93,mem_write,IOB,IO_L07N_1/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P94,,,VCCINT,,,,,,,,1.2,,,,
P95,,,VCCO_1,,,1,,,,,2.50,,,,
